# rom	parent  （主档 parent 填自己；克隆填主档短名）
# 选台列表按此分组。mame.lst 仍只两列，给 MAME 中文名用。
lhb	lhb
lhbv33c	lhb
dbc	lhb
ryukobou	lhb
lhb2	lhb2
lhb2cpgs	lhb2
tygn	tygn
lhb3	lhb3
nkishusp	lhb3
xymg	xymg
xymga	xymg
wlcc	wlcc
lhzb	lhzb
lhzba	lhzb
lhzb2	lhzb2
lhzb2a	lhzb2
lhzb2b	lhzb2
lhzb2c	lhzb2
lhzb3	lhzb3
lhzb3106c5m	lhzb3
lhzb3sjb	lhzb3
lhzb3in1	lhzb3
lhzbgqb	lhzb
lhdmg	lhdmg
lhdmgp	lhdmg
lhdmgp200c3m	lhdmg
lthyp	lthyp
lhzb4	lhzb4
lhzb4dhb	lhzb4
mgcs	mgcs
mgcsa	mgcs
mgcsb	mgcs
mgzz	mgzz
mgzz100cn	mgzz
sdmg2	sdmg2
sdmg2754ca	sdmg2
sdmg2754cb	sdmg2
sdmg2p	sdmg2
qlgs	qlgs
mjelctrn	mjelctrn
mjembase	mjelctrn
mjelct3	mjelctrn
mjelct3a	mjelctrn
mjelct3b	mjelctrn
mjelctrb	mjelctrn
mjelct3bl	mjelctrn
mjelct3bla	mjelctrn
mjelct3blb	mjelctrn
mjelct3bi	mjelctrn
mjelct3bia	mjelctrn
mjelct3bib	mjelctrn
qyjdzjp	mjelctrn
tenkai	tenkai
tenkai2b	tenkai
tenkaibb	tenkai
tenkaicb	tenkai
tenkaie	tenkai
ougonhai	ougonhai
ougonhaib1	ougonhai
ougonhaib2	ougonhai
ougonhaib3	ougonhai
jantouki	jantouki
mcnpshnt	mcnpshnt
bnstars1	bnstars1
bnstars	bnstars1
mgakuen	mgakuen
7toitsu	mgakuen
mgakuen2	mgakuen2
cultures	cultures
mjsister	mjsister
