lhb	龙虎榜 (中国版 V035C)
lhbv33c	龙虎榜 (中国版 V033C)
dbc	大阪城 (香港版 V027H)
ryukobou	麻将龙虎榜 (日版 V030J)
lhb2	龙虎榜 II (香港版 V185H)
lhb2cpgs	龙虎榜 II：搓牌高手 (中国版 V127C)
tygn	特异功能 (中国版 V632C)
lhb3	龙虎榜 III：搓牌高手 (中国版 V242C)
nkishusp	麻将念力手 SP (日版 V250J)
xymg	幸运满贯 (中国版 V651C)
xymga	幸运满贯 (中国版 V651C set2)
wlcc	万里长城 (中国版 V638C)
lhzb	龙虎争霸 (中国版 VS105M)
lhzba	龙虎争霸 (中国版 VS105M set2)
lhzb2	龙虎争霸 2 (中国版)
lhzb2a	龙虎争霸 2 (中国版 VS221M)
lhzb2b	龙虎争霸 2 (中国版 VS210M)
lhzb2c	龙虎争霸 2 (中国版 VS220M)
lhzb3	龙虎争霸 III (V400CN)
lhzb3106c5m	龙虎争霸 III (V106C5M)
lhzb3sjb	龙虎争霸 III 升级版 (V300C5)
lhzb3in1	龙虎争霸三合一 (V100CN)
lhzbgqb	龙虎争霸高清版 (V105CN)
lhdmg	龙虎大满贯 (V102C3M)
lhdmgp	龙虎大满贯对战加强版 (V400C3M)
lhdmgp200c3m	龙虎大满贯对战加强版 (V200C3M)
lthyp	龙腾虎跃对战加强版 (S104CN)
lhzb4	龙虎争霸 4 (V104CN)
lhzb4dhb	龙虎争霸 4 对话版 (V203CN)
mgcs	满贯财神 (中国版 V103CS)
mgcsa	满贯财神 (中国版 V106CS)
mgcsb	满贯财神 (中国版 V110C)
mgzz	满贯至尊 (V101CN)
mgzz100cn	满贯至尊 (V100CN)
sdmg2	超级大满贯 II (中国版 V765C)
sdmg2754ca	超级大满贯 II (中国版 V754C set1)
sdmg2754cb	超级大满贯 II (中国版 V754C set2)
sdmg2p	麻雀王朝 / 超级大满贯 2 加强版 (中国版 V100C)
qlgs	雀龙高手 (S501CN)
mjelctrn	麻将电子基盘 (2&4 日版)
mjembase	麻将电磁基地 (日版)
mjelct3	麻将电子基盘 (2&3 日版 set1)
mjelct3a	麻将电子基盘 (2&3 日版 set2)
mjelct3b	麻将电子基盘 (2&3 日版 set3)
mjelctrb	麻将电子基盘 (2&4 日版盗版)
mjelct3bl	麻将电子基盘 (2&3 日版盗版 set1)
mjelct3bla	麻将电子基盘 (2&3 日版盗版 set2)
mjelct3blb	麻将电子基盘 (2&3 日版盗版 set3)
mjelct3bi	麻将电子基盘 (2&3 日版盗版 set1)
mjelct3bia	麻将电子基盘 (2&3 日版盗版 set2)
mjelct3bib	麻将电子基盘 (2&3 日版盗版 set3)
qyjdzjp	雀逰记·电子机盘加强版 (v201)
tenkai	麻将天开眼 (日版)
tenkai2b	麻将天开眼 Part 2 (盗版)
tenkaibb	麻将天开眼 (日版盗版 b)
tenkaicb	麻将天开眼 (日版盗版 c)
tenkaie	麻将天开眼 (日版 set2)
ougonhai	麻将黄金牌 (日版)
ougonhaib1	麻将黄金牌 (日版盗版 set1)
ougonhaib2	麻将黄金牌 (日版盗版 set2)
ougonhaib3	麻将黄金牌 (日版盗版 set3)
jantouki	雀斗记 (日版)
mcnpshnt	校园狩猎麻将 (日版)
bnstars1	Vs. 雀士 Brandnew Stars
bnstars	Vs. 雀士 Brandnew Stars (Ver 1.1)
mgakuen	麻将学院
7toitsu	七对子 (麻将学院别版)
mgakuen2	麻将学院 2：学园长的复仇
cultures	文化学校麻将篇
mjsister	麻将姐妹 (日版)
